node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
62 63 1 -0.2434 -2.0579 -15.9492 -0.2331 -2.0582 -16.1990 0.2000 2.6109 20.0000 1 2 1  
5356 5357 283 -1.3911 -0.3762 -9.5608 -1.6087 -0.3170 -9.6686 0.0400 2.6194 18.5388 2 2 283  
4748 4749 250 2.2049 -1.8686 -9.4990 2.3770 -1.9310 -9.6692 0.0400 2.6295 18.6617 2 2 250  
63 64 1 -0.2331 -2.0582 -16.1990 -0.2472 -2.0900 -16.3449 0.2000 2.6403 20.0000 1 2 1  
4138 4139 217 2.5773 -0.2938 -8.8337 2.7540 -0.2463 -9.0041 0.0400 2.6409 18.7842 2 2 217  
3524 3525 184 2.7154 -1.5931 -8.3405 2.8984 -1.6760 -8.4893 0.0400 2.6536 18.9062 2 2 184  
2908 2909 151 -1.4870 -0.0780 -8.6543 -1.5484 0.0531 -8.8582 0.0400 2.6677 19.0279 2 2 151  
1663 1664 85 2.3478 -0.6955 -7.6417 2.3922 -0.7738 -7.8203 0.0400 2.6723 19.2699 2 2 85  
2287 2288 118 -0.2858 -2.6585 -8.1232 -0.2977 -2.7494 -8.3558 0.0400 2.6831 19.1491 2 2 118  
64 65 1 -0.2472 -2.0900 -16.3449 -0.2873 -2.1650 -16.5800 0.2000 2.6892 20.0000 1 2 1  
